% Model:              RCWA_rectangle_v1_use_this.mph
% Version:            COMSOL 6.3.0.290
% Date:               Feb 10 2026, 19:59
% Table:              Table 1 - Surface Average 1
% freq (Hz)                                       Electric field, x-component (V/m)                 Electric field, y-component (V/m)
4.3E14                                            0.7284519559011179+0.15072350698492165i           0.06163692467189429-0.31660648475714637i
4.4E14                                            0.08514699755818136-0.7232750844215383i           -0.34822454273066594-0.03670711153434043i
4.5E14                                            -0.7099749373156066-0.01673117861212085i          -0.006127555877713414+0.38141532358792307i
4.6E14                                            0.057039447601482385+0.6873782935458954i          0.418737749938735-0.03472163632032543i
4.7E14                                            0.6485734038013805-0.13467777372391954i           -0.09189209172032076-0.45466108800941935i
4.8E14                                            -0.21015865647397897-0.589567103773478i           -0.485135191524337+0.16624909357277998i
4.9E14                                            -0.5073303004952594+0.2748270206998006i           0.26463895449999636+0.5024612053722615i
5.0E14                                            0.31780987298994784+0.4040087400331843i           0.4904272423940991-0.38476953866554164i
5.1E14                                            0.2793257804668062-0.32524358444536117i           -0.5234504804231696-0.43449497698416734i
5.2E14                                            -0.1874920890051606-0.10998368940262784i          -0.22221111633806878+0.7038314979370646i
5.3E14                                            -0.15218386683998827+0.3048084688562785i          0.6547770559622071+0.25483324640810423i
5.4E14                                            0.13488597604769162+0.10368691218519552i          -0.006882968888938632-0.6850780964073632i
5.5E14                                            0.15815536484565088-0.243685688236354i            -0.608521414239217-0.0056332265520086895i
5.6E14                                            -0.18679371544609888-0.04871903224013969i         0.15290235740056063+0.667969008622003i
5.7E14                                            -0.04606231413580055+0.11028825414396995i         0.6010964200716225-0.33304590338964674i
5.8E14                                            0.08349330558053128+0.11390404035305254i          -0.45822666778889215-0.4370652430761781i
5.9E14                                            0.15233234670410553-0.2161850181992451i           -0.280183211339453+0.41831316495649185i
6.0E14                                            -0.24739565324067792-0.004748431344988171i        0.4626978633811133+0.2682705167030964i
6.1E14                                            0.035167866166723696+0.207869396397675i           0.10788398755897174-0.54432897384199i
6.2E14                                            0.22249942405288103-0.05167235187804803i          -0.5086922233157646+0.11189493913895589i
6.3E14                                            -0.1432949832039243-0.28600715518130376i          0.29392814209378515+0.3117609792920988i
6.4E14                                            -0.19544354571711514+0.2560134474978388i          0.005157127137990086-0.21931620178540834i
6.5E14                                            0.289519065271892+0.0808216854743887i             -0.02773891260958826+0.09435560360122817i
6.6E14                                            0.08388281117766834-0.3817780934519748i           0.029909691221313064+0.02886826509401971i
6.7E14                                            -0.3825743072364693+0.016319363594168614i         -0.1354872514603803-0.15387520409006078i
6.8E14                                            0.11391352690493953+0.39442889891041333i          0.03401317139015402+0.2609901726328004i
6.9E14                                            0.429122956471615-0.119134593851797i              0.20365532962401273-0.2015276646657676i
7.0E14                                            -0.331073712485823-0.26702981837293416i           -0.13728133328994035-0.25772146347815794i
7.1E14                                            -0.15530127579388683+0.18064989564623682i         -0.28026898685825624+0.31757201984295896i
7.2E14                                            0.0948791160407957+0.2640503877883225i            0.46913730094457096+0.14952094513543962i
7.3E14                                            0.35678509800639385-0.17748915439714272i          -0.03562992935514938-0.48290316345579953i
7.4E14                                            -0.26391673744085-0.2673089730888034i             -0.441870259084485+0.12060423190962416i
7.5E14                                            -0.28910272762063266+0.21443709573301048i         0.293007882968919+0.406750264205104i
